nome,n_tratamentos,dePara,status_material,indexTratamento,tratamento_semente
9504VIP3,108,9504VIP3,STINE,,padrao
9505PRO4,216,9505PRO4,STINE,,padrao
9505PRO4,,9505PRO4 VICTRATO,STINE,26,victrato
9610VIP3,176,9610VIP3,STINE,,padrao
9717VIP3,176,9717VIP3,STINE,,padrao
9801VIP3,174,9801VIP3,STINE,,padrao
9808PRO4,176,9808PRO4,STINE,,padrao
AG8701PRO4,24,AG8701PRO4,CHECK,,padrao
AS1868PRO4,29,AS1868PRO4,CHECK,,padrao
B2701PWU,29,B2701PWU,CHECK,,padrao
B2702PWU,11,B2702PWU,CHECK,,padrao
CS 9801VIP3,40,CS9801VIP3,CHECK,,padrao
DKB255PRO4,11,DKB255PRO4,CHECK,,padrao
DKB260PRO4,11,DKB260PRO4,CHECK,,padrao
DKB356PRO4,13,DKB356PRO4,CHECK,,padrao
DKB360PRO3,40,DKB360PRO3,CHECK,,padrao
EXP0086VIP3,40,EXP0086VIP3,EXP,,padrao
EXP0094VIP3,40,EXP0094VIP3,EXP,,padrao
EXP0098VIP3,40,EXP0098VIP3,EXP,,padrao
EXP0298VIP3,40,EXP0298VIP3,EXP,,padrao
EXP0476VIP3,40,EXP0476VIP3,EXP,,padrao
EXP0542VIP3,40,EXP0542VIP3,EXP,,padrao
EXP1390VIP3,40,EXP1390VIP3,EXP,,padrao
K7510VIP3,29,K7510VIP3,CHECK,,padrao
LG36750PRO4,16,LG36750PRO4,CHECK,,padrao
MG447PWU,16,MG447PWU,CHECK,,padrao
MG540PWU,40,MG540PWU,CHECK,,padrao
NK501VIP3,40,NK501VIP3,CHECK,,padrao
NK509VIP3,40,NK509VIP3,CHECK,,padrao
NS75VIP3,11,NS75VIP3,CHECK,,padrao
P3845VYHR,27,P3845VYHR,CHECK,,padrao
P40537PWU,13,P40537PWU,CHECK,,padrao
SS2317EVIP3,40,SS2317EVIP3,EXP,,padrao
SS2414EVIP3 ,40,SS2414EVIP3,EXP,,padrao
SS266EVIP3,40,SS266EVIP3,EXP,,padrao
SS267EVIP3,40,SS267EVIP3,EXP,,padrao
SXA0524ZL,40,SXA0524ZL,EXP,,padrao
SYD8124ZL,40,SYD8124ZL,EXP,,padrao
SYD8224ZL,40,SYD8224ZL,EXP,,padrao
SYD9024ZL,40,SYD9024ZL,EXP,,padrao
SYD9124ZL,40,SYD9124ZL,EXP,,padrao
SZC4624ZL,40,SZC4624ZL,EXP,,padrao
SZD5924ZL,40,SZD5924ZL,EXP,,padrao
