dePara_safra,safra,status_safra,dePara_mestre,status_mestre
9504VIP3,24/25,STINE,9504VIP3,STINE
9504VIP3,25/26,STINE,9504VIP3,STINE
9505VTPRO4,24/25,STINE,9505PRO4,STINE
9505PRO4,25/26,STINE,9505PRO4,STINE
9505PRO4 VICTRATO,25/26,STINE,9505PRO4 VICTRATO,STINE
9610VIP3,25/26,STINE,9610VIP3,STINE
9705VIP3,24/25,STINE,9705VIP3,STINE
9717VIP3,25/26,STINE,9717VIP3,STINE
9801VIP3,24/25,STINE,9801VIP3,STINE
9801VIP3,25/26,STINE,9801VIP3,STINE
9808VTPRO4,24/25,STINE,9808PRO4,STINE
9808PRO4,25/26,STINE,9808PRO4,STINE
AG8701PRO4,25/26,CHECK,AG8701PRO4,CHECK
AS1820PRO4,24/25,CHECK,AS1820PRO4,CHECK
AS1868PRO4,25/26,CHECK,AS1868PRO4,CHECK
B2701PWU,25/26,CHECK,B2701PWU,CHECK
B2702PWU,25/26,CHECK,B2702PWU,CHECK
CS9801 VIP3,24/25,CHECK,CS9801VIP3,STINE
CS9801VIP3,25/26,CHECK,CS9801VIP3,STINE
DKB255PRO4,25/26,CHECK,DKB255PRO4,CHECK
DKB260PRO4,25/26,CHECK,DKB260PRO4,CHECK
DKB356PRO4,25/26,CHECK,DKB356PRO4,CHECK
DKB360PRO3,24/25,CHECK,DKB360PRO3,CHECK
DKB360PRO3,25/26,CHECK,DKB360PRO3,CHECK
EXO0052VIP3,24/25,EXP,9610VIP3,STINE
EXP0012VIP3,24/25,EXP,EXP0012VIP3,EXP
EXP0051VIP3,24/25,EXP,EXP0051VIP3,EXP
EXP0067VIP3,24/25,EXP,EXP0067VIP3,EXP
EXP0086VIP3,25/26,EXP,EXP0086VIP3,EXP
EXP0090VIP3,24/25,EXP,EXP0090VIP3,EXP
EXP0094VIP3,25/26,EXP,EXP0094VIP3,EXP
EXP0098VIP3,25/26,EXP,EXP0098VIP3,EXP
EXP0198VIP3,24/25,EXP,EXP0198VIP3,EXP
EXP0298VIP3,25/26,EXP,EXP0298VIP3,EXP
EXP0476VIP3,25/26,EXP,EXP0476VIP3,EXP
EXP0542VIP3,25/26,EXP,EXP0542VIP3,EXP
EXP1390VIP3,25/26,EXP,EXP1390VIP3,EXP
EXP5021VIP3,24/25,EXP,EXP5021VIP3,EXP
K7510VIP3,24/25,EXP,K7510VIP3,CHECK
K7510VIP3,25/26,CHECK,K7510VIP3,CHECK
K9606VIP3,24/25,EXP,K9606VIP3,CHECK
LG36750PRO4,24/25,CHECK,LG36750PRO4,CHECK
LG36750PRO4,25/26,CHECK,LG36750PRO4,CHECK
LG36790PRO3,24/25,CHECK,LG36790PRO3,CHECK
MG447PWU,24/25,CHECK,MG447PWU,CHECK
MG447PWU,25/26,CHECK,MG447PWU,CHECK
MG540PWU,25/26,CHECK,MG540PWU,CHECK
NK501VIP3,24/25,CHECK,NK501VIP3,CHECK
NK501VIP3,25/26,CHECK,NK501VIP3,CHECK
NK509VIP3,25/26,CHECK,NK509VIP3,CHECK
NS75VIP3,25/26,CHECK,NS75VIP3,CHECK
P3845VYHR,24/25,CHECK,P3845VYHR,CHECK
P3845VYHR,25/26,CHECK,P3845VYHR,CHECK
P40537PWU,25/26,CHECK,P40537PWU,CHECK
SS2317EVIP3,25/26,EXP,SS2317EVIP3,EXP
SS2414EVIP3,25/26,EXP,SS2414EVIP3,EXP
SS266EVIP3,25/26,EXP,SS266EVIP3,EXP
SS267EVIP3,25/26,EXP,SS267EVIP3,EXP
SXA0524ZL,25/26,EXP,SXA0524ZL,EXP
SYD8124ZL,25/26,EXP,SYD8124ZL,EXP
SYD8224ZL,25/26,EXP,SYD8224ZL,EXP
SYD9024ZL,25/26,EXP,SYD9024ZL,EXP
SYD9124ZL,25/26,EXP,SYD9124ZL,EXP
SZC4624ZL,25/26,EXP,SZC4624ZL,EXP
SZD5924ZL,25/26,EXP,SZD5924ZL,EXP
